bibcode,title,first_author,year,pub,doi,abstract,citation_count,epoch_search,is_seed,has_abstract,site_name,best_fit_martian_epoch,analogue_recognition_status,epoch_rationale,ph_range,temperature_profile,mineralogy_and_geochemistry,water_activity_and_aridity,feasibility_score,verbatim_quote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006Natur.440..491W,"['Southern Ocean sea-ice extent, productivity and iron flux over the past eight glacial cycles']","Wolff, E. W.",2006,Nature,10.1038/nature04614,"Sea ice and dust flux increased greatly in the Southern Ocean during the last glacial period. Palaeorecords provide contradictory evidence about marine productivity in this region, but beyond one glacial cycle, data were sparse. Here we present continuous chemical proxy data spanning the last eight glacial cycles (740,000 years) from the Dome C Antarctic ice core. These data constrain winter sea-ice extent in the Indian Ocean, Southern Ocean biogenic productivity and Patagonian climatic conditions. We found that maximum sea-ice extent is closely tied to Antarctic temperature on multi-millennial timescales, but less so on shorter timescales. Biological dimethylsulphide emissions south of the polar front seem to have changed little with climate, suggesting that sulphur compounds were not active in climate regulation. We observe large glacial-interglacial contrasts in iron deposition, which we infer reflects strongly changing Patagonian conditions. During glacial terminations, changes in Patagonia apparently preceded sea-ice reduction, indicating that multiple mechanisms may be responsible for different phases of CO<SUB>2</SUB> increase during glacial terminations. We observe no changes in internal climatic feedbacks that could have caused the change in amplitude of Antarctic temperature variations observed 440,000years ago.",364,amazonian,FALSE,TRUE,"Dome C, Antarctica",Amazonian,Implicit,"The Dome C Antarctic ice core records long-term glacial-interglacial cycles, dust flux, and cold-climate dynamics. This environment serves as an implicit analogue for the Amazonian epoch of Mars, which is characterized by hyperarid, sub-zero polar conditions, ice-sheet dynamics, and orbitally-driven dust deposition cycles.",Not specified,Sub-zero polar temperatures (Antarctic glacial-interglacial cycles),"Iron-bearing dust, sulfur compounds (dimethylsulphide emissions)","Low water activity (frozen ice sheet, hyper-arid polar desert)",3,"Here we present continuous chemical proxy data spanning the last eight glacial cycles (740,000 years) from the Dome C Antarctic ice core.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Sci...343.1347M,['Iron Fertilization of the Subantarctic Ocean During the Last Ice Age'],"Martínez-García, Alfredo",2014,Science,10.1126/science.1246848,"John H. Martin, who discovered widespread iron limitation of ocean productivity, proposed that dust-borne iron fertilization of Southern Ocean phytoplankton caused the ice age reduction in atmospheric carbon dioxide (CO<SUB>2</SUB>). In a sediment core from the Subantarctic Atlantic, we measured foraminifera-bound nitrogen isotopes to reconstruct ice age nitrate consumption, burial fluxes of iron, and proxies for productivity. Peak glacial times and millennial cold events are characterized by increases in dust flux, productivity, and the degree of nitrate consumption; this combination is uniquely consistent with Subantarctic iron fertilization. The associated strengthening of the Southern Ocean’s biological pump can explain the lowering of CO<SUB>2</SUB> at the transition from mid-climate states to full ice age conditions as well as the millennial-scale CO<SUB>2</SUB> oscillations.",364,amazonian,FALSE,TRUE,Subantarctic Atlantic Ocean,None,Implicit,"The paper describes a marine pelagic environment during the Last Glacial Maximum, focusing on dust-borne iron fertilization of ocean phytoplankton. This open-ocean marine setting with high water activity does not map to any Martian epoch, as Mars lacked persistent, open liquid oceans during the Hesperian and Amazonian, and Noachian oceans remain highly hypothetical and geochemically distinct from late Quaternary Earth oceans.",Not specified,Glacial ocean temperatures (not explicitly quantified),"Iron-bearing dust, nitrogen isotopes, nitrate",High water activity (liquid marine environment),1,"In a sediment core from the Subantarctic Atlantic, we measured foraminifera-bound nitrogen isotopes to reconstruct ice age nitrate consumption, burial fluxes of iron, and proxies for productivity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006JHyd..328..548S,['Potential water yield reduction due to forestation across China'],"Sun, Ge",2006,Journal of Hydrology,10.1016/j.jhydrol.2005.12.013,"SummaryIt is widely recognized that vegetation restoration will have positive effects on watershed health by reducing soil erosion and non-point source pollution, enhancing terrestrial and aquatic habitat, and increasing ecosystem carbon sequestration. However, the hydrologic consequences of forestation on degraded lands are not well studied in the forest hydrology community as a whole. China has the largest area of forest plantations in the world now, and the hydrologic consequences of massive forestation are unknown. We applied a simplified hydrological model across the diverse physiographic region to estimate the potential magnitude of annual water yield response to forestation. Our study suggests that the average water yield reduction may vary from about 50 mm/yr (50%) in the semi-arid Loess Plateau region in northern China to about 300 mm/yr (30%) in the tropical southern region. We conclude that forestation in China that often involves a combination of tree planting and engineering (e.g., terracing) may have even a higher potential to greatly reduce annual water yield in headwater watersheds, especially in the semi-arid Loess Plateau region. However, the forestation area is relatively small for most large basins with mixed landuses in China, thus the regional effects of forestation on water resource management may not be of major concern. Comprehensive science-based evaluation of roles of forests on regulating regional water resources is critical to the current forestation endeavors in China.",363,amazonian,FALSE,TRUE,"Loess Plateau and southern tropical region, China",None,Implicit,"The paper focuses on the hydrological impacts of forestation and vegetation restoration in semi-arid and tropical regions of China. Because the study is centered on active terrestrial vegetation, forest hydrology, and agricultural engineering, it does not present a viable physical or chemical analogue for any Martian epoch. Mars lacks terrestrial vegetation and associated organic-driven hydrological cycles, making this site inapplicable to Martian planetary geology.",Not specified,Not specified,Not specified,Semi-arid to tropical humid conditions,1,Our study suggests that the average water yield reduction may vary from about 50 mm/yr (50%) in the semi-arid Loess Plateau region in northern China to about 300 mm/yr (30%) in the tropical southern region.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993Natur.361..249R,['Carbon dioxide limitation of marine phytoplankton growth rates'],"Riebesell, U.",1993,Nature,10.1038/361249a0,"THE supply of dissolved inorganic carbon (DIC) is not considered to limit oceanic primary productivity<SUP>1</SUP>, as its concentration in sea water exceeds that of other plant macronutrients such as nitrate and phosphate by two and three orders of magnitude, respectively. But the bulk of oceanic new production<SUP>2</SUP> and a major fraction of vertical carbon flux is mediated by a few diatom genera whose ability to use DIG components other than CO<SUB>2</SUB>, which comprises &lt; 1% of total DIC<SUP>3</SUP>, is unknown<SUP>4</SUP>. Here we show that under optimal light and nutrient conditions, diatom growth rate can in fact be limited by the supply of CO<SUB>2</SUB>. The doubling in surface water pCO<SUB>2</SUB> levels since the last glaciation from 180 to 355 p.p.m.<SUP>5,6</SUP> could therefore have stimulated marine productivity, thereby increasing oceanic carbon sequestration by the biological pump.",356,amazonian,FALSE,TRUE,Earth's Oceans,None,Implicit,"The study focuses on marine phytoplankton (specifically diatoms) and dissolved inorganic carbon limitation in Earth's oceans. Because diatoms are complex eukaryotic organisms and the study is set in a modern terrestrial marine pelagic environment, it does not present a viable analogue for any Martian epoch. Mars lacks evidence of open, diatom-bearing marine systems, making this environment incompatible with Noachian, Hesperian, or Amazonian models.",Not specified,Not specified,"Dissolved inorganic carbon (DIC), carbon dioxide (CO2), nitrate, phosphate",Marine environment with high water activity,1,"Here we show that under optimal light and nutrient conditions, diatom growth rate can in fact be limited by the supply of CO2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009PNAS..106.9749A,['Tracing the impact of the Andean uplift on Neotropical plant evolution'],"Antonelli, Alexandre",2009,Proceedings of the National Academy of Science,10.1073/pnas.0811421106,"Recent phylogenetic studies have revealed the major role played by the uplift of the Andes in the extraordinary diversification of the Neotropical flora. These studies, however, have typically considered the Andean uplift as a single, time-limited event fostering the evolution of highland elements. This contrasts with geological reconstructions indicating that the uplift occurred in discrete periods from west to east and that it affected different regions at different times. We introduce an approach for integrating Andean tectonics with biogeographic reconstructions of Neotropical plants, using the coffee family (Rubiaceae) as a model group. The distribution of this family spans highland and montane habitats as well as tropical lowlands of Central and South America, thus offering a unique opportunity to study the influence of the Andean uplift on the entire Neotropical flora. Our results suggest that the Rubiaceae originated in the Paleotropics and used the boreotropical connection to reach South America. The biogeographic patterns found corroborate the existence of a long-lasting dispersal barrier between the Northern and Central Andes, the ""Western Andean Portal."" The uplift of the Eastern Cordillera ended this barrier, allowing dispersal of boreotropical lineages to the South, but gave rise to a huge wetland system (""Lake Pebas"") in western Amazonia that prevented in situ speciation and floristic dispersal between the Andes and Amazonia for at least 6 million years. Here, we provide evidence of these events in plants.",354,amazonian,FALSE,TRUE,Lake Pebas (Western Amazonia),None,Implicit,"The paper describes the historical 'Lake Pebas' wetland system in western Amazonia. While it represents a massive lacustrine environment with sustained water activity, it is a tropical, highly biogenic Neotropical wetland associated with plant diversification. It lacks the diagnostic geochemical parameters, hydrothermal signatures, or specific mineralogy (such as smectites or carbonates) required to serve as a high-fidelity analogue for Noachian water bodies.",Not specified,Not specified (tropical lowlands),Not specified,Sustained high water activity (wetland system),1,"gave rise to a huge wetland system (""Lake Pebas"") in western Amazonia that prevented in situ speciation and floristic dispersal between the Andes and Amazonia for at least 6 million years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990Sci...250.1705B,['Control of a Desert-Grassland Transition by a Keystone Rodent Guild'],"Brown, James H.",1990,Science,10.1126/science.250.4988.1705,"Twelve years after three species of kangaroo rats (Dipodomys spp.) were removed from plots of Chihuahuan Desert shrub habitat, density of tall perennial and annual grasses had increased approximately threefold and rodent species typical of arid grassland had colonized. These were just the most recent and dramatic in a series of changes in plants and animals caused by experimental exclusion of Dipodomys. In this ecosystem kangaroo rats are a keystone guild: through seed predation and soil disturbance they have major effects on biological diversity and biogeochemical processes.",351,amazonian,FALSE,TRUE,Chihuahuan Desert,None,Implicit,"The study focuses entirely on macro-ecological interactions, specifically the impact of kangaroo rats (Dipodomys spp.) on vegetation dynamics and rodent community structure in a desert-grassland transition zone. Because the research is centered on vascular plants (grasses) and mammalian biology, it lacks any direct or indirect geochemical, mineralogical, or physical processes applicable to Martian environments, making it unsuitable as a planetary analogue for any Martian epoch.",Not specified,Not specified,Not specified,Arid desert shrub habitat (exact water activity not specified),1,"Twelve years after three species of kangaroo rats (Dipodomys spp.) were removed from plots of Chihuahuan Desert shrub habitat, density of tall perennial and annual grasses had increased approximately threefold and rodent species typical of arid grassland had colonized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005ESPL...30..133P,['The role of vegetation patterns in structuring runoff and sediment fluxes in drylands'],"Puigdefábregas, Juan",2005,Earth Surface Processes and Landforms,10.1002/esp.1181,"The dynamics of vegetation-driven spatial heterogeneity (VDSH) and its function in structuring runoff and sediment fluxes have received increased attention from both geomorphological and ecological perspectives, particularly in arid regions with sparse vegetation cover. This paper reviews the recent findings in this area obtained from field evidence and numerical simulation experiments, and outlines their implications for soil erosion assessment. VDSH is often observed at two scales, individual plant clumps and stands of clumps. At the patch scale, the local outcomes of vegetated patches on soil erodibility and hydraulic soil properties are well established. They involve greater water storage capacity as well as increased organic carbon and nutrient inputs. These effects operate together with an enhanced capacity for the interception of water and windborne resources, and an increased biological activity that accelerates breakdown of plant litter and nutrient turnover rates. This suite of relationships, which often involve positive feedback mechanisms, creates vegetated patches that are increasingly different from nearby bare ground areas. By this way a mosaic builds up with bare ground and vegetated patches coupled together, respectively, as sources and sinks of water, sediments and nutrients. At the stand scale within-storm temporal variability of rainfall intensity controls reinfiltration of overland flow and its decay with slope length. At moderate rainfall intensity, this factor interacts with the spatial structure of VDSH and the mechanism of overland flow generation. Reinfiltration is greater in small-grained VDSH and topsoil saturation excess overland flow. Available information shows that VDSH structures of sources and sinks of water and sediments evolve dynamically with hillslope fluxes and tune their spatial configurations to them. Rainfall simulation experiments in large plots show that coarsening VDSH leads to significantly greater erosion rates even under heavy rainfall intensity because of the flow concentration and its velocity increase. Copyright Ltd.",348,amazonian,FALSE,TRUE,Generic terrestrial drylands,None,Implicit,"The study focuses entirely on vegetation-driven spatial heterogeneity (VDSH) and its influence on runoff and sediment fluxes. Because these geomorphological processes are fundamentally controlled by terrestrial biology (vegetation patches, organic carbon, and plant litter), they cannot be applied to abiotic Martian environments, making it unsuitable for Noachian, Hesperian, or Amazonian analogues.",Not specified,Not specified,Organic carbon and nutrients (specific minerals not specified),Arid regions with sparse vegetation cover,1,"The dynamics of vegetation-driven spatial heterogeneity (VDSH) and its function in structuring runoff and sediment fluxes have received increased attention from both geomorphological and ecological perspectives, particularly in arid regions with sparse vegetation cover.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998JArEn..39..133B,"['Vulnerability of desert biological soil crusts to wind erosion: the influences of crust development, soil texture, and disturbance']","Belnap, Jayne",1998,Journal of Arid Environments,10.1006/jare.1998.0388,"Biological soil crusts, consisting of cyanobacteria, green algae, lichens, and mosses, are important in stabilizing soils in semi-arid and arid lands. Integrity of these crusts is compromised by compressional disturbances such as foot, vehicle, or livestock traffic. Using a portable wind tunnel, we found threshold friction velocities (TFVs) of undisturbed crusts well above wind forces experienced at these sites; consequently, these soils are not vulnerable to wind erosion. However, recently disturbed soils or soils with less well-developed crusts frequently experience wind speeds that exceed the stability thresholds of the crusts. Crustal biomass is concentrated in the top 3 mm of soils. Sandblasting by wind can quickly remove this material, thereby reducing N and C inputs from these organisms. This loss can result in reduced site productivity, as well as exposure of unprotected subsurface sediments to wind and water erosion. Actions to reduce impacts to these crusts can include adjustments in type, intensity, and timing of use.",347,amazonian,FALSE,TRUE,Unspecified semi-arid and arid desert lands,Amazonian,Implicit,"The study focuses on wind erosion, threshold friction velocities, and sandblasting in arid and semi-arid desert soils. These physical aeolian processes are highly analogous to the Amazonian epoch of Mars, which is characterized by hyper-arid conditions where wind-driven erosion, dust transport, and surface sediment saltation are the dominant geological processes shaping the landscape.",Not specified,Not specified,Not specified,Arid and semi-arid desert conditions,2,"Biological soil crusts, consisting of cyanobacteria, green algae, lichens, and mosses, are important in stabilizing soils in semi-arid and arid lands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970Ecol...51..365J,['Geographic Size Variation in Birds and Its Relationship to Climate'],"James, Frances C.",1970,Ecology,10.2307/1935374,"There is a high degree of concordance among the patterns of geographic size variation in birds in the eastern and central United States. This is demonstrated for 12 species by assuming that wing length measurements are an indicator of body size on the intraspecific level, and by arranging the data in the form of a grid of means of wing lengths for sample areas. Maps giving isophenetic lines for wing length indicate gradually increasing size clines northward and westward from Florida in the Hairy Woodpecker (Dendrocopos villosus), Dowy Woodpecker (Dendrocopos pubescens), Blue Jay (Cyanocitta cristata), Carolina Chickadee (Parus carolinensis), White—breasted Nuthatch (Sitta carolinensis), and Eastern Meadowlark (Sturnella Magna). In each case there is a trend for larger (or longer—winged) birds to extend southward in the Appalachian Mountains and for smaller (or shorter—winged) birds to extend northward in the Mississippi River valley. Maps made by a computer and automatic plotter using contour intervals of 0.5 mm of mean wing length for the Downy Woodpecker, for male White—breasted Nuthatches, and for female Blue Jays show that, in addition to the patter just mentioned, relatively longer—winged birds extend southward in the interior highlands of Arkansas, and relatively shorter—winged birds extend northward up other river valleys. These subtle relationships between intraspecific size variation and topographic features suggest that the link between the two phenomena may be precise adaptations to even minor climatic gradients. The relationship between these findings and the subspecies concept is discussed. Correlation coefficients for the patter of variation in the Downy Woodpecker with seasonal and annual wet—bulb temperature, vapor pressure, and absolute humidity were all either equal to or higher than correlations with dry—bulb temperature. Since these variables reflect the combined effects of temperature and humidity, the obvious indication is that size variation is more closely related to this combination than to temperature alone. Additional correlations using the mean wing length data for seven other species confirmed that wet—bulb temperature patterms are more closely related to bird size than either dry—bulb temperature patters or latitude. These relationship can be expressed numerically as regressions of mean wing length on either annual wet—bulb temperature or mean annual total heat per pound of air. Since increased evaporation at high altitudes and in arid areas accentuates the depression of a wet—bulb thermometer, my hypothesis may partially account for several cases of size variation in birds cited by others as disturbing exceptions to Bergmann's ecogeographic rule. Sections of a translation of Bergmann's paper published in 1847 are given. The biological mechanisms by which these relationships are maintainted are unknown, and the wide range of tolerance by birds to diurnal and seasonal temperature variations tends to mask them. If the well—established inverse relationship between weight and metabolic rate per gram of homeotherms is operative on the intraspecific level, the relationships can be discussed in terms of avenues of heat loss and of energy budget equations.",346,amazonian,FALSE,TRUE,Eastern and Central United States,None,Implicit,"The paper focuses on avian geographic size variation (wing length) in relation to microclimate, wet-bulb temperature, and humidity in the eastern and central United States. It does not investigate any extreme geochemical, hydrothermal, or cryo-environments that could serve as physical or chemical analogues for Martian epochs. No geological proxies or planetary science contexts are discussed.",Not specified,Temperate to subtropical atmospheric temperatures (not specified in degrees),Not specified,Humid temperate to subtropical; general mention of evaporation in arid areas but no specific site studied,1,There is a high degree of concordance among the patterns of geographic size variation in birds in the eastern and central United States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001Oikos..93...42P,['Changes in plant interactions along a gradient of environmental stress'],"Pugnaire, Francisco I.",2001,Oikos,10.1034/j.1600-0706.2001.930104.x,"A combination of competition and facilitation effects operating simultaneously among plant species appears to be the rule in nature, where these effects change along productivity gradients often in a non-proportional manner. We investigated changes in competition and facilitation between a leguminous shrub, Retama sphaerocarpa, and its associate understorey species along an environmental gradient in semi-arid southeast Spain. Our results show a change in the net balance of the interaction between the shrub and several of its associated species, from clearly positive in the water-stressed, infertile environment to neutral or even negative in the more fertile habitat. There was a weakening of facilitation along the fertility gradient as a consequence of improved abiotic conditions. Competition was the most intense for below-ground resources in the less fertile environment while total competition tended to increase towards the more productive end of the gradient. Changes in the balance of the interaction between and among different plant species along the gradient of stress were caused by a decline in facilitation rather than by a change in competition. As both competition intensity and facilitation change along gradients of resource availability, plant interactions are best viewed as dynamic relationships, the outcome of which depends on abiotic conditions.",339,amazonian,FALSE,TRUE,Semi-arid southeast Spain,None,Implicit,"The study focuses on vascular plant interactions (specifically the leguminous shrub Retama sphaerocarpa and understorey species) in a semi-arid Mediterranean climate. Because Mars lacks vascular plants and macro-vegetation, and the hydrological conditions of semi-arid Spain do not reach the hyper-arid, sub-zero, or highly acidic/alkaline extremes of Martian epochs, this site does not serve as a viable geological or astrobiological analogue.",Not specified,Not specified,Not specified,"Semi-arid, water-stressed",1,"We investigated changes in competition and facilitation between a leguminous shrub, Retama sphaerocarpa, and its associate understorey species along an environmental gradient in semi-arid southeast Spain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975Tectp..29..141S,['Determining earthquake recurrence intervals from deformational structures in young lacustrine sediments'],"Sims, John D.",1975,Tectonophysics,10.1016/0040-1951(75)90139-0,"Examination of the silty sediments in the lower Van Normal reservoir after the 1971 San Fernando, California earthquake revealed three zones of deformational structures in the 1-m-thick sequence of sediments exposed over about 2 km <SUP>2</SUP> of the reservoir bottom. These zones are correlated with moderate earthquakes that shook the San Fernando area in 1930, 1952, and 1971. The success of this study, coupled with the experimental formation of deformational structures similar to those of the Van Norman reservoir, led to a search for similar structures in Pleistocene and Holocene lakes and lake sediments in other seismically active areas. Thus, studies have been started in Pleistocene and Holocene silty and sandy lake sediments in the Imperial Valley, southeastern California; Clear Lake, in northern California; and the Puget Sound area of Washington. The Imperial Valley study has yielded spectacular results: five zones of structures in the upper 10 m of Late Holocene sediments near Brawley have been correlated over an area of approximately 100 km <SUP>2</SUP>, using natural outcrops. These structures are similar to those of the Van Norman reservoir and are interpreted to represent at least five moderate to large earthquakes that affected the southern Imperial Valley area during Late Holocene time. The Clear Lake study has provided ambiguous results with respect to determination of earthquake recurrence intervals because the cores studied are in clayey rich in organic material sediments that have low liquefaction potential. A study of Late Pleistocene varved glacio-lacustrine sediments has been started in the Puget Sound area of Washington, and thirteen sites have been examined. One has yielded 18.75 m of sediments that contains 1,804 varves and fourteen deformed zones interpreted as being caused by earthquake, because they are identical to structures formed experimentally by simulated seismic shaking. Correlation of deformational structures with seismic events is based on: (1) proximity to presently active seismic zones; <P />(2) presence of potentially liquefiable sediments; <P />(3) similarity to structures formed experimentally; <P />(4) small-scale internal structures within deformed zones that suggest liquefaction; <P />(5) structures restricted to single stratigraphic intervals; <P />(6) zones of structures correlatable over large areas; and <P />(7) absence of detectable influence by slopes, slope failures, or other sedimentological, biological, or deformational processes.",337,amazonian,FALSE,TRUE,"Van Norman reservoir, Imperial Valley, Clear Lake, and Puget Sound",Noachian,Implicit,"The paper describes Pleistocene and Holocene lacustrine and glacio-lacustrine sedimentary systems containing silty, sandy, and clayey deposits. These environments represent sustained water activity and standing bodies of water capable of preserving fine-grained stratigraphic sequences. On Mars, such persistent lacustrine conditions and clay-rich depositional basins are highly characteristic of the wetter, neutral-to-alkaline aqueous regimes of the Noachian epoch.",Not specified,Not specified (temperate to glacio-lacustrine cold environments),"Silty, sandy, and clayey sediments, organic-rich clay",Sustained water activity (subaqueous lacustrine deposition),2,led to a search for similar structures in Pleistocene and Holocene lakes and lake sediments in other seismically active areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003Sci...302.1018N,"['Mars-Like Soils in the Atacama Desert, Chile, and the Dry Limit of Microbial Life']","Navarro-González, Rafael",2003,Science,10.1126/science.1089143,"The Viking missions showed the martian soil to be lifeless and depleted in organic material and indicated the presence of one or more reactive oxidants. Here we report the presence of Mars-like soils in the extreme arid region of the Atacama Desert. Samples from this region had organic species only at trace levels and extremely low levels of culturable bacteria. Two samples from the extreme arid region were tested for DNA and none was recovered. Incubation experiments, patterned after the Viking labeled-release experiment but with separate biological and nonbiological isomers, show active decomposition of organic species in these soils by nonbiological processes.",336,amazonian,FALSE,TRUE,"Atacama Desert, Chile",Amazonian,Explicit,"The extreme arid region of the Atacama Desert represents the dry limit of microbial life on Earth, mirroring the hyperarid, desiccated, and highly oxidizing conditions of the modern Martian surface during the Amazonian epoch. The abstract describes soils with trace organic species, extremely low culturable bacteria, and no recoverable DNA, which closely match the lifeless, organic-depleted state of Amazonian Mars. Furthermore, the presence of reactive oxidants causing nonbiological decomposition of organic species directly replicates the chemical environment encountered by the Viking landers on the modern Martian surface.",Not specified,Not specified,"Reactive oxidants, trace organic species","Extreme arid region, dry limit of microbial life",5,Here we report the presence of Mars-like soils in the extreme arid region of the Atacama Desert.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PNAS..111.8753F,['Antarctic sea ice control on ocean circulation in present and glacial climates'],"Ferrari, Raffaele",2014,Proceedings of the National Academy of Science,10.1073/pnas.1323922111,"The ocean's role in regulating atmospheric carbon dioxide on glacial-interglacial timescales remains an unresolved issue in paleoclimatology. Many apparently independent changes in ocean physics, chemistry, and biology need to be invoked to explain the full signal. Recent understanding of the deep ocean circulation and stratification is used to demonstrate that the major changes invoked in ocean physics are dynamically linked. In particular, the expansion of permanent sea ice in the Southern Hemisphere results in a volume increase of Antarctic-origin abyssal waters and a reduction in mixing between abyssal waters of Arctic and Antarctic origin.",336,amazonian,FALSE,TRUE,Antarctic Southern Ocean,Amazonian,Implicit,"The study focuses on the expansion of permanent sea ice and glacial climate dynamics. This serves as an implicit proxy for the Amazonian epoch of Mars, which is characterized by hyperarid, cryo-dominated conditions, global cooling, and the persistence of stable ice sheets and subsurface cryo-environments. The dynamics of terrestrial permanent sea ice and cold abyssal waters offer a conceptual analogue for ice-water interactions and cryo-stratification in planetary bodies.",Not specified,Glacial temperatures (sub-zero sea ice formation),Not specified,Low water activity associated with freezing and permanent sea ice cover,1,the expansion of permanent sea ice in the Southern Hemisphere results in a volume increase of Antarctic-origin abyssal waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998GeCoA..62.3453M,['Geochemistry of barium in marine sediments: implications for its use as a paleoproxy'],"McManus, James",1998,Geochimica et Cosmochimica Acta,10.1016/S0016-7037(98)00248-8,"Variations in the accumulation rate of barium in marine sediments are thought to be indicative of variations in marine biological productivity through time. However, the use of Ba as a proxy for paleoproductivity is partly dependent upon its being preserved in the sediment record in a predictable or consistent fashion. Arguments in favor of high Ba preservation are partly based on the assumption that sediment porewaters are generally at saturation with respect to pure barite. The idea is that because nondetrital sedimentary Ba predominantly exists as barite, porewater saturation would promote burial. We present sediment porewater, sediment solid phase, and benthic incubation chamber data suggesting that solid-phase Ba preservation may be compromised in some geochemical settings. We propose that under suboxic diagenetic conditions, characterized by low bottom water oxygen and high organic carbon respiration rates, Ba preservation may be reduced. Independent of the mechanism, if this assertion is true, then it becomes important to know when the Ba record is unreliable. We present evidence demonstrating that the sedimentary accumulation of authigenic U may serve as a proxy for when the Ba record is unreliable. We then provide an example from the Southern Ocean during the last glacial period where high authigenic U concentrations coincide with high Pa:Th ratios and high accumulation rates of biogenic opal, but we find low accumulation rates of sedimentary Ba. Thus, for the study sites presented here during the last glacial, we conclude that Ba is an unreliable productivity proxy.",335,amazonian,FALSE,TRUE,Southern Ocean (marine sediments),None,Implicit,"The study focuses on suboxic marine diagenetic environments characterized by organic carbon respiration and barite dissolution. These open-marine, organic-rich sedimentary systems do not share geochemical or hydrological commonalities with any Martian epoch, as Mars lacked persistent global oceans with high organic carbon cycling during the Noachian, Hesperian, or Amazonian.",Not specified,Not specified,"barite, barium, authigenic uranium, biogenic opal, Pa:Th ratios",Saturated marine porewater (high water activity),1,"We propose that under suboxic diagenetic conditions, characterized by low bottom water oxygen and high organic carbon respiration rates, Ba preservation may be reduced.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020Fuel..26216553S,"['A review on feedstocks, production processes, and yield for different generations of biodiesel']","Singh, Digambar",2020,Fuel,10.1016/j.fuel.2019.116553,"Continuous increase in world's population, rapid industrialization, urbanization, and economic growth force for continuously increase in fossil fuel consumption to meet growing energy demand. Continuous emissions from burning of fossil fuel will create the need to find the appropriate and sustainable replacement for fossil fuels. Biodiesel is appropriate alternate solution for diesel engine due to its renewable, non-toxic and eco-friendly nature. According to EASAC biodiesel evolution is classified into four generations. Cultivation in arid and semi arid land or water, crop yield, effect on food supply, yield of biodiesel, energy content, carbon-neutral economy, easy availability, and economic viable are the main factors behind the evolution of biodiesel generations. This article highlights a comprehensive assessment of various feedstocks used for different generation biodiesel production with their advantages and disadvantages. Different production methods for biodiesel with yield calculation are also explained. Algae based third generation feedstocks are better in comparison with first and second generation due to their high energy content, high oil content and less polluting nature. Forth generation of biodiesel produced from synthetic biology, which will enhance the various physiochemical properties of biodiesel to achieve carbon neutral economy. Among the all biodiesel production processes; transesterification is the most suitable process, because it produces biodiesel of high yield, comparable properties with diesel. This process is also feasible as per economic point of view. The energy demand of future can be met by the blending of different generation oil feedstocks.",334,amazonian,FALSE,TRUE,None,None,Implicit,"The provided text is a review of biodiesel feedstocks, production processes, and synthetic biology. It does not describe a specific terrestrial geological site, extreme environment, or planetary analogue, and thus cannot be mapped to any Martian epoch.",Not specified,Not specified,Not specified,Not specified,1,"Cultivation in arid and semi arid land or water, crop yield, effect on food supply, yield of biodiesel, energy content, carbon-neutral economy, easy availability, and economic viable are the main factors behind the evolution of biodiesel generations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
