bibcode,abstract,author,doi,pub,pubdate,title,year,citation_count,epoch_search,first_author
2012ClCh..114..813D,"We use a statistical metric of multi-dimensional climate change to quantify the emergence of global climate change hotspots in the CMIP5 climate model ensemble. Our hotspot metric extends previous work through the inclusion of extreme seasonal temperature and precipitation, which exert critical influence on climate change impacts. The results identify areas of the Amazon, the Sahel and tropical West Africa, Indonesia, and the Tibetan Plateau as persistent regional climate change hotspots throughout the 21st century of the RCP8.5 and RCP4.5 forcing pathways. In addition, areas of southern Africa, the Mediterranean, the Arctic, and Central America/western North America also emerge as prominent regional climate change hotspots in response to intermediate and high levels of forcing. Comparisons of different periods of the two forcing pathways suggest that the pattern of aggregate change is fairly robust to the level of global warming below approximately 2 °C of global warming (relative to the late-20th-century baseline), but not at the higher levels of global warming that occur in the late-21st-century period of the RCP8.5 pathway, with areas of southern Africa, the Mediterranean, and the Arctic exhibiting particular intensification of relative aggregate climate change in response to high levels of forcing. Although specific impacts will clearly be shaped by the interaction of climate change with human and biological vulnerabilities, our identification of climate change hotspots can help to inform mitigation and adaptation decisions by quantifying the rate, magnitude and causes of the aggregate climate response in different parts of the world.","['Diffenbaugh, Noah S.', 'Giorgi, Filippo']",10.1007/s10584-012-0570-x,Climatic Change,2012-10-00,['Climate change hotspots in the CMIP5 global climate model ensemble'],2012,440,amazonian,"Diffenbaugh, Noah S."
2005Ecol...86..288L,"Ecological and hydrological processes can interact strongly in landscapes, yet these processes are often studied separately. One particularly important interaction between these processes in patchy semiarid lands is how vegetation patches serve to obstruct runoff and then how this retained water increases patch growth that, in turn, provides feedbacks to the system. Such ecohydrological interactions have been mostly demonstrated for semiarid landscapes with distinctly banded vegetation patterns. In this paper, we use data from our studies and from the literature to evaluate how strongly four ecohydrological interactions apply across other patchy semiarid vegetations, and how these interactions are affected by disturbances. We specifically address four questions concerning ecohydrological interactions: (1) if vegetation patches obstruct runoff flows during rainfall events, how much more soil water is stored in these patches compared to open interpatch areas; (2) if inputs of water are higher in patches, how much stronger is the pulse of plant growth compared to interpatches; (3) if more soil water in patches promotes greater biological activity by organisms such as earthworms that create macropores, how much does this improve soil infiltrability; and (4) if vegetation patches are damaged on a hillslope, how much does this increase runoff and erosion and decrease biomass production? We used the trigger─transfer─reserve─pulse framework developed for Australian semiarid woodlands to put these four questions into a landscape context. For a variety of patchy semiarid vegetation types in Australia, Europe, and North America, we found that patches significantly stored more soil water, produced more growth and had better infiltrability than interpatches, and that runoff and erosion can markedly increase on disturbed hillslopes. However, these differences varied greatly and appeared to depend on factors such as the intensity and amount of input events (rainstorms) and type of topography, soils, and vegetation. Experimental and modeling studies are needed to better quantify how these factors specifically affect ecohydrological interactions. Our current findings do support the conclusion that vegetation patches and runoff─erosion processes do strongly interact in many semiarid landscapes across the globe, not just banded landscapes.","['Ludwig, John A.', 'Wilcox, Bradford P.', 'Breshears, David D.', 'Tongway, David J.', 'Imeson, Anton C.']",10.1890/03-0569,Ecology,2005-02-00,['Vegetation Patches and RUNOFF─EROSION as Interacting Ecohydrological Processes in Semiarid Landscapes'],2005,438,amazonian,"Ludwig, John A."
2010Sci...327.1241M,"The Neoproterozoic was an era of great environmental and biological change, but a paucity of direct and precise age constraints on strata from this time has prevented the complete integration of these records. We present four high-precision U-Pb ages for Neoproterozoic rocks in northwestern Canada that constrain large perturbations in the carbon cycle, a major diversification and depletion in the microfossil record, and the onset of the Sturtian glaciation. A volcanic tuff interbedded with Sturtian glacial deposits, dated at 716.5 million years ago, is synchronous with the age of the Franklin large igneous province and paleomagnetic poles that pin Laurentia to an equatorial position. Ice was therefore grounded below sea level at very low paleolatitudes, which implies that the Sturtian glaciation was global in extent.","['Macdonald, Francis A.', 'Schmitz, Mark D.', 'Crowley, James L.', 'Roots, Charles F.', 'Jones, David S.', 'Maloof, Adam C.', 'Strauss, Justin V.', 'Cohen, Phoebe A.', 'Johnston, David T.', 'Schrag, Daniel P.']",10.1126/science.1183325,Science,2010-03-00,['Calibrating the Cryogenian'],2010,438,amazonian,"Macdonald, Francis A."
2002AcO....23..137S,"Non-marine aquatic vascular plants generally show broad distributional ranges. Climatic factors seem to have limited effects on their distributions, besides the determination of major disjunctions (tropical-temperate-subarctic). Dispersal should have been frequent enough to assure the quick colonisation of extensive areas following glacial retreat, but dispersal limitation is still apparent in areas separated by geographic barriers. Aquatic vascular plants also show limited taxonomic differentiation and low within-species genetic variation. Variation within populations is particularly low, but variation among populations seems to be relatively high, mainly due to the persistence of long-lived clones. Ecotypic differentiation is often related to factors that constrain clonal reproduction (salinity and ephemeral inundation). Inland aquatic habitats are heterogeneous environments, but this heterogeneity largely occurs at relatively small scales (within waterbodies and among neighbouring ones). They also represent a stressful environment for plants, characterised by low carbon availability, shaded conditions, sediment anoxia, mechanical damage by currents and waves, significant restrictions to sexual reproduction, and sometimes also osmotic stress and limited nutrient supply. I propose that the generality of broad distributions and low differentiation among the inland aquatic flora is best explained by a combination of: (1) selection for stress-tolerant taxa with broad tolerance ranges. (2) The selective advantages provided by clonal growth and multiplication, which increases plant tolerance to stress, genet survivorship and population viability. (3) Long-distance dispersal of sexual propagules and high local dispersal of asexual clones. (4) The generality of broad plastic responses, promoted by the combination of clonal growth, high local dispersal, small-scale spatial heterogeneity and temporal variability.","['Santamaría, Luis']",10.1016/S1146-609X(02)01146-3,Acta Oecologica,2002-06-00,"['Why are most aquatic plants widely distributed? Dispersal, clonal growth and small-scale heterogeneity in a stressful environment']",2002,435,amazonian,"Santamaría, Luis"
2012Natur.489..546S,"Metazoans are likely to have their roots in the Cryogenian period, but there is a marked increase in the appearance of novel animal and algae fossils shortly after the termination of the late Cryogenian (Marinoan) glaciation about 635 million years ago. It has been suggested that an oxygenation event in the wake of the severe Marinoan glaciation was the driving factor behind this early diversification of metazoans and the shift in ecosystem complexity. But there is little evidence for an increase in oceanic or atmospheric oxygen following the Marinoan glaciation, or for a direct link between early animal evolution and redox conditions in general. Models linking trends in early biological evolution to shifts in Earth system processes thus remain controversial. Here we report geochemical data from early Ediacaran organic-rich black shales (~635-630 million years old) of the basal Doushantuo Formation in South China. High enrichments of molybdenum and vanadium and low pyrite sulphur isotope values (∆<SUP>34</SUP>S values &gt;=65 per mil) in these shales record expansion of the oceanic inventory of redox-sensitive metals and the growth of the marine sulphate reservoir in response to a widely oxygenated ocean. The data provide evidence for an early Ediacaran oxygenation event, which pre-dates the previous estimates for post-Marinoan oxygenation by more than 50 million years. Our findings seem to support a link between the most severe glaciations in Earth's history, the oxygenation of the Earth's surface environments, and the earliest diversification of animals.","['Sahoo, Swapan K.', 'Planavsky, Noah J.', 'Kendall, Brian', 'Wang, Xinqiang', 'Shi, Xiaoying', 'Scott, Clint', 'Anbar, Ariel D.', 'Lyons, Timothy W.', 'Jiang, Ganqing']",10.1038/nature11445,Nature,2012-09-00,['Ocean oxygenation in the wake of the Marinoan glaciation'],2012,432,amazonian,"Sahoo, Swapan K."
2018ScTEn.625..320S,"Soil salinization and sodification are two commonly occurring major threats to soil productivity in arable croplands. Salt-affected soils are found in &gt;100 countries, and their distribution is extensive and widespread in arid and semi-arid regions of the world. In order to meet the challenges of global food security, it is imperative to bring barren salt-affected soils under cultivation. Various inorganic and organic amendments are used to reclaim the salt-affected lands. The selection of a sustainable ameliorant is largely determined by the site-specific geographical and soil physicochemical parameters. Recently, biochar (solid carbonaceous residue, produced under oxygen-free or oxygen-limited conditions at temperatures ranging from 300 to 1000°C) has attracted considerable attention as a soil amendment. An emerging pool of knowledge shows that biochar addition is effective in improving physical, chemical and biological properties of salt-affected soils. However, some studies have also found an increase in soil salinity and sodicity with biochar application at high rates. Further, the high cost associated with production of biochar and high application rates remains a significant challenge to its widespread use in areas affected by salinity and sodicity. Moreover, there is relatively limited information on the long-term behavior of salt-affected soils subjected to biochar applications. The main objective of the present paper was to review, analyze and discuss the recent studies investigating a role of biochar in improving soil properties and plant growth in salt-affected soils. This review emphasizes that using biochar as an organic amendment for sustainable and profitable use of salt-affected soils would not be practicable as long as low-cost methods for the production of biochar are not devised.","['Saifullah', 'Dahlawi, Saad', 'Naeem, Asif', 'Rengel, Zed', 'Naidu, Ravi']",10.1016/j.scitotenv.2017.12.257,Science of the Total Environment,2018-06-00,['Biochar application for the remediation of salt-affected soils: Challenges and opportunities'],2018,431,amazonian,Saifullah
2010Sci...329.1513P,"The Amazon is one of the few continental regions where atmospheric aerosol particles and their effects on climate are not dominated by anthropogenic sources. During the wet season, the ambient conditions approach those of the pristine pre-industrial era. We show that the fine submicrometer particles accounting for most cloud condensation nuclei are predominantly composed of secondary organic material formed by oxidation of gaseous biogenic precursors. Supermicrometer particles, which are relevant as ice nuclei, consist mostly of primary biological material directly released from rainforest biota. The Amazon Basin appears to be a biogeochemical reactor, in which the biosphere and atmospheric photochemistry produce nuclei for clouds and precipitation sustaining the hydrological cycle. The prevailing regime of aerosol-cloud interactions in this natural environment is distinctly different from polluted regions.","['Pöschl, U.', 'Martin, S. T.', 'Sinha, B.', 'Chen, Q.', 'Gunthe, S. S.', 'Huffman, J. A.', 'Borrmann, S.', 'Farmer, D. K.', 'Garland, R. M.', 'Helas, G.', 'Jimenez, J. L.', 'King, S. M.', 'Manzi, A.', 'Mikhailov, E.', 'Pauliquevis, T.', 'Petters, M. D.', 'Prenni, A. J.', 'Roldin, P.', 'Rose, D.', 'Schneider, J.', 'Su, H.', 'Zorn, S. R.', 'Artaxo, P.', 'Andreae, M. O.']",10.1126/science.1191056,Science,2010-09-00,['Rainforest Aerosols as Biogenic Nuclei of Clouds and Precipitation in the Amazon'],2010,430,amazonian,"Pöschl, U."
1980OrGeo...2....9D,"The anoxic, aquatic, environment is a mass of water so depleted in oxygen that virtually all aerobic biological activity has ceased. Anoxic conditions occur where the demand for oxygen in the water column exceeds the supply. Oxygen demand relates to surface biological productivity, while oxygen supply in intermediate and deep water depends on water circulation, which is governed by global climatic patterns and the Coriolis force. <P />Organic matter in sediments below anoxic water is commonly more abundant and more lipid-rich than under oxic water mainly because of the absence of benthonic scavenging. The specific cause for preferential lipid enrichment probably relates to the biochemistry of anaerobic bacterial activity. Recent evidence suggests that ancient organic-rich sediments containing hydrogen-rich kerogens (potential oil source beds) were deposited in similar anoxic environments. <P />We propose the following classification for modern aquatic anoxic settings: <P />1. Large anoxic lakes- Permanent stratification promotes development of anoxic bottom water, particularly in large, deep lakes, which are not subject to seasonal overturn, e.g., Lake Tanganyika. <P />2. Anoxic silled basins-Landlocked silled basins with positive water balance tend to become anoxic. Typical are the Baltic and Black Seas. In arid region seas (Red and Mediterranean Seas), evaporation exceeds river inflow, causing negative water balance and well-aerated, nutrient-depleted bottom waters. Anoxic conditions in silled basins on oceanic shelves also depend upon overall climatic and water circulation patterns. <P />3. Anoxic layers caused by upwelling-Develop only when the oxygen supply in deep water cannot match demand by decaying organisms. Examples are the Benguela current and Peru coastal upwelling. No systematic correlation exists between upwelling and anoxic conditions because deep oxygen supply is often sufficient to match strongest demand. <P />4. Open ocean anoxic layers-Found at intermediate depths in the northeastern Pacific and northern Indian Oceans; due to distance from deep, oxygenated polar water sources. Analogous to world-wide anoxic events at times of global climatic warm-ups and major transgression, as in late Jurassic and middle Cretaceous time. <P />Petroleum exploration can be greatly assisted by using geochemistry to identify paleo-anoxic events in the stratigrahic record. Recognition of the proposed anoxic models in ancient sedimentary basins should help in regional mapping of oil shales and oil-source beds.","['Demaison, G. J.', 'Moore, G. T.']",10.1016/0146-6380(80)90017-0,Organic Geochemistry,1980-00-00,['Anoxic environments and oil source bed genesis'],1980,426,amazonian,"Demaison, G. J."
2004Sci...304..408C,"The availability of iron is known to exert a controlling influence on biological productivity in surface waters over large areas of the ocean and may have been an important factor in the variation of the concentration of atmospheric carbon dioxide over glacial cycles. The effect of iron in the Southern Ocean is particularly important because of its large area and abundant nitrate, yet iron-enhanced growth of phytoplankton may be differentially expressed between waters with high silicic acid in the south and low silicic acid in the north, where diatom growth may be limited by both silicic acid and iron. Two mesoscale experiments, designed to investigate the effects of iron enrichment in regions with high and low concentrations of silicic acid, were performed in the Southern Ocean. These experiments demonstrate iron's pivotal role in controlling carbon uptake and regulating atmospheric partial pressure of carbon dioxide.","['Coale, Kenneth H.', 'Johnson, Kenneth S.', 'Chavez, Francisco P.', 'Buesseler, Ken O.', 'Barber, Richard T.', 'Brzezinski, Mark A.', 'Cochlan, William P.', 'Millero, Frank J.', 'Falkowski, Paul G.', 'Bauer, James E.', 'Wanninkhof, Rik H.', 'Kudela, Raphael M.', 'Altabet, Mark A.', 'Hales, Burke E.', 'Takahashi, Taro', 'Landry, Michael R.', 'Bidigare, Robert R.', 'Wang, Xiujun', 'Chase, Zanna', 'Strutton, Pete G.', 'Friederich, Gernot E.', 'Gorbunov, Maxim Y.', 'Lance, Veronica P.', 'Hilting, Anna K.', 'Hiscock, Michael R.', 'Demarest, Mark', 'Hiscock, William T.', 'Sullivan, Kevin F.', 'Tanner, Sara J.', 'Gordon, R. Mike', 'Hunter, Craig N.', 'Elrod, Virginia A.', 'Fitzwater, Steve E.', 'Jones, Janice L.', 'Tozzi, Sasha', 'Koblizek, Michal', 'Roberts, Alice E.', 'Herndon, Julian', 'Brewster, Jodi', 'Ladizinsky, Nicolas', 'Smith, Geoffrey', 'Cooper, David', 'Timothy, David', 'Brown, Susan L.', 'Selph, Karen E.', 'Sheridan, Cecelia C.', 'Twining, Benjamin S.', 'Johnson, Zackary I.']",10.1126/science.1089778,Science,2004-04-00,['Southern Ocean Iron Enrichment Experiment: Carbon Cycling in High- and Low-Si Waters'],2004,424,amazonian,"Coale, Kenneth H."
2018TCry...12..759B,"The mountain cryosphere of mainland Europe is recognized to have important impacts on a range of environmental processes. In this paper, we provide an overview on the current knowledge on snow, glacier, and permafrost processes, as well as their past, current, and future evolution. We additionally provide an assessment of current cryosphere research in Europe and point to the different domains requiring further research. Emphasis is given to our understanding of climate-cryosphere interactions, cryosphere controls on physical and biological mountain systems, and related impacts. By the end of the century, Europe's mountain cryosphere will have changed to an extent that will impact the landscape, the hydrological regimes, the water resources, and the infrastructure. The impacts will not remain confined to the mountain area but also affect the downstream lowlands, entailing a wide range of socioeconomical consequences. European mountains will have a completely different visual appearance, in which low- and mid-range-altitude glaciers will have disappeared and even large valley glaciers will have experienced significant retreat and mass loss. Due to increased air temperatures and related shifts from solid to liquid precipitation, seasonal snow lines will be found at much higher altitudes, and the snow season will be much shorter than today. These changes in snow and ice melt will cause a shift in the timing of discharge maxima, as well as a transition of runoff regimes from glacial to nival and from nival to pluvial. This will entail significant impacts on the seasonality of high-altitude water availability, with consequences for water storage and management in reservoirs for drinking water, irrigation, and hydropower production. Whereas an upward shift of the tree line and expansion of vegetation can be expected into current periglacial areas, the disappearance of permafrost at lower altitudes and its warming at higher elevations will likely result in mass movements and process chains beyond historical experience. Future cryospheric research has the responsibility not only to foster awareness of these expected changes and to develop targeted strategies to precisely quantify their magnitude and rate of occurrence but also to help in the development of approaches to adapt to these changes and to mitigate their consequences. Major joint efforts are required in the domain of cryospheric monitoring, which will require coordination in terms of data availability and quality. In particular, we recognize the quantification of high-altitude precipitation as a key source of uncertainty in projections of future changes. Improvements in numerical modeling and a better understanding of process chains affecting high-altitude mass movements are the two further fields that - in our view - future cryospheric research should focus on.","['Beniston, Martin', 'Farinotti, Daniel', 'Stoffel, Markus', 'Andreassen, Liss M.', 'Coppola, Erika', 'Eckert, Nicolas', 'Fantini, Adriano', 'Giacona, Florie', 'Hauck, Christian', 'Huss, Matthias', 'Huwald, Hendrik', 'Lehning, Michael', 'López-Moreno, Juan-Ignacio', 'Magnusson, Jan', 'Marty, Christoph', 'Morán-Tejéda, Enrique', 'Morin, Samuel', 'Naaim, Mohamed', 'Provenzale, Antonello', 'Rabatel, Antoine', 'Six, Delphine', 'Stötter, Johann', 'Strasser, Ulrich', 'Terzago, Silvia', 'Vincent, Christian']",10.5194/tc-12-759-2018,The Cryosphere,2018-03-00,"['The European mountain cryosphere: a review of its current state, trends, and future challenges']",2018,419,amazonian,"Beniston, Martin"
2015GCBio..21.1407N,"Altered precipitation patterns resulting from climate change will have particularly significant consequences in water-limited ecosystems, such as arid to semi-arid ecosystems, where discontinuous inputs of water control biological processes. Given that these ecosystems cover more than a third of Earth's terrestrial surface, it is important to understand how they respond to such alterations. Altered water availability may impact both aboveground and belowground communities and the interactions between these, with potential impacts on ecosystem functioning; however, most studies to date have focused exclusively on vegetation responses to altered precipitation regimes. To synthesize our understanding of potential climate change impacts on dryland ecosystems, we present here a review of current literature that reports the effects of precipitation events and altered precipitation regimes on belowground biota and biogeochemical cycling. Increased precipitation generally increases microbial biomass and fungal:bacterial ratio. Few studies report responses to reduced precipitation but the effects likely counter those of increased precipitation. Altered precipitation regimes have also been found to alter microbial community composition but broader generalizations are difficult to make. Changes in event size and frequency influences invertebrate activity and density with cascading impacts on the soil food web, which will likely impact carbon and nutrient pools. The long-term implications for biogeochemical cycling are inconclusive but several studies suggest that increased aridity may cause decoupling of carbon and nutrient cycling. We propose a new conceptual framework that incorporates hierarchical biotic responses to individual precipitation events more explicitly, including moderation of microbial activity and biomass by invertebrate grazing, and use this framework to make some predictions on impacts of altered precipitation regimes in terms of event size and frequency as well as mean annual precipitation. While our understanding of dryland ecosystems is improving, there is still a great need for longer term in situ manipulations of precipitation regime to test our model.","['Nielsen, Uffe N.', 'Ball, Becky A.']",10.1111/gcb.12789,Global Change Biology,2015-04-00,['Impacts of altered precipitation regimes on soil communities and biogeochemistry in arid and semi-arid ecosystems'],2015,418,amazonian,"Nielsen, Uffe N."
2007Natur.449..905M,"Genetic and anatomical evidence suggests that Homo sapiens arose in Africa between 200 and 100 thousand years (kyr) ago, and recent evidence indicates symbolic behaviour may have appeared ~135-75kyr ago. From 195-130 kyr ago, the world was in a fluctuating but predominantly glacial stage (marine isotope stage MIS6); much of Africa was cooler and drier, and dated archaeological sites are rare. Here we show that by ~164kyr ago (+/-12kyr) at Pinnacle Point (on the south coast of South Africa) humans expanded their diet to include marine resources, perhaps as a response to these harsh environmental conditions. The earliest previous evidence for human use of marine resources and coastal habitats was dated to ~125kyr ago. Coincident with this diet and habitat expansion is an early use and modification of pigment, probably for symbolic behaviour, as well as the production of bladelet stone tool technology, previously dated to post-70kyr ago. Shellfish may have been crucial to the survival of these early humans as they expanded their home ranges to include coastlines and followed the shifting position of the coast when sea level fluctuated over the length of MIS6.","['Marean, Curtis W.', 'Bar-Matthews, Miryam', 'Bernatchez, Jocelyn', 'Fisher, Erich', 'Goldberg, Paul', 'Herries, Andy I. R.', 'Jacobs, Zenobia', 'Jerardino, Antonieta', 'Karkanas, Panagiotis', 'Minichillo, Tom', 'Nilssen, Peter J.', 'Thompson, Erin', 'Watts, Ian', 'Williams, Hope M.']",10.1038/nature06204,Nature,2007-10-00,['Early human use of marine resources and pigment in South Africa during the Middle Pleistocene'],2007,414,amazonian,"Marean, Curtis W."
2006AgWM...80...23D,"Water shortage in China, particularly in the north and northwest of China, is very serious. The region accounts for half of the total area of China, but has less than 20% of total national available water resources. While the water shortage in this region is severe, irrigation water use efficiency is only about 40%, with a typical agricultural water use efficiency of about 0.46 kg m <SUP>-3</SUP>. Excessive irrigation in Ningxia and Inner Mongolia has had a significant influence on downstream water users along the Yellow River. It is widely believed that an increase in the agricultural water use efficiency is the key to mitigating water shortage and reducing environmental problems. This paper reviews water-saving agricultural systems and approaches to improve agricultural water use efficiency in the arid and semiarid areas of China. The paper will cover biological mechanisms of water-saving agriculture and water-saving irrigation technologies, including low pressure irrigation, furrow irrigation, plastic mulches, drip irrigation under plastic, rainfall harvesting and terracing. In addition, the paper addresses the compensatory effect of limited irrigation and fertilizer supplementation on water use efficiency and highlights the need to breed new varieties for high water use efficiency. Considerable potential for further improvement in agricultural water use efficiency in the region depends on effective conservation of moisture and efficient use of the limited water.","['Deng, Xi-Ping', 'Shan, Lun', 'Zhang, Heping', 'Turner, Neil C.']",10.1016/j.agwat.2005.07.021,Agricultural Water Management,2006-00-00,['Improving agricultural water use efficiency in arid and semiarid areas of China'],2006,412,amazonian,"Deng, Xi-Ping"
2001PPEES...4...97H,"Cohesion-tension transport of water is an energetically efficient way to carry large amounts of water from the roots up to the leaves. However, the cohesion-tension mechanism places the xylem water under negative hydrostatic pressure ( P <SUB loc=""post"">x</SUB>), rendering it susceptible to cavitation. There are conflicts among the structural requirements for minimizing cavitation on the one hand vs maximizing efficiency of transport and construction on the other. Cavitation by freeze-thaw events is triggered by in situ air bubble formation and is much more likely to occur as conduit diameter increases, creating a direct conflict between conducting efficiency and sensitivity to freezing induced xylem failure. Temperate ring-porous trees and vines with wide diameter conduits tend to have a shorter growing season than conifers and diffuse-porous trees with narrow conduits. Cavitation by water stress occurs by air seeding at interconduit pit membranes. Pit membrane structure is at least partially uncoupled from conduit size, leading to a much less pronounced trade-off between conducting efficiency and cavitation by drought than by freezing. Although wider conduits are generally more susceptible to drought-induced cavitation within an organ, across organs or species this trend is very weak. Different trade-offs become apparent at the level of the pit membranes that interconnect neighbouring conduits. Increasing porosity of pit membranes should enhance conductance but also make conduits more susceptible to air seeding. Increasing the size or number of pit membranes would also enhance conductance, but may weaken the strength of the conduit wall against implosion. The need to avoid conduit collapse under negative pressure creates a significant trade-off between cavitation resistance and xylem construction cost, as revealed by relationships between conduit wall strength, wood density and cavitation pressure. Trade-offs involving cavitation resistance may explain the correlations between wood anatomy, cavitation resistance, and the physiological range of negative pressure experienced by species in their native habitats.","['Hacke, Uwe G.', 'Sperry, John S.']",10.1078/1433-8319-00017,"Perspectives in Plant Ecology, Evolution and Systematics",2001-01-00,['Functional and ecological xylem anatomy'],2001,409,amazonian,"Hacke, Uwe G."
2005BiSci..55...17S,"In arctic Alaska, air temperatures have warmed 0.5 degrees Celsius (°C) per decade for the past 30 years, with most of the warming coming in winter. Over the same period, shrub abundance has increased, perhaps a harbinger of a conversion of tundra to shrubland. Evidence suggests that winter biological processes are contributing to this conversion through a positive feedback that involves the snow-holding capacity of shrubs, the insulating properties of snow, a soil layer that has a high water content because it overlies nearly impermeable permafrost, and hardy microbes that can maintain metabolic activity at temperatures of −6°C or lower. Increasing shrub abundance leads to deeper snow, which promotes higher winter soil temperatures, greater microbial activity, and more plant-available nitrogen. High levels of soil nitrogen favor shrub growth the following summer. With climate models predicting continued warming, large areas of tundra could become converted to shrubland, with winter processes like those described here possibly playing a critical role.","['Sturm, Matthew', 'Schimel, Josh', 'Michaelson, Gary', 'Welker, Jeffrey M.', 'Oberbauer, Steven F.', 'Liston, Glen E.', 'Fahnestock, Jace', 'Romanovsky, Vladimir E.']",10.1641/0006-3568(2005)055[0017:WBPCHC]2.0.CO;2,BioScience,2005-01-00,['Winter Biological Processes Could Help Convert Arctic Tundra to Shrubland'],2005,404,amazonian,"Sturm, Matthew"
2010EcoM...80..401K,"Despite a long history of the study of tropical forests, uncertainty about the importance of different ecological processes in shaping tropical tree species distributions persists. Trait- and phylogenetic-based tests of community assembly provide a powerful way to detect community assembly processes but have seldom been applied to the same community. Both methods are well suited to testing how the relative importance of different ecological processes changes with spatial scale. Here we apply both methods to the Yasuní Forest Dynamics Plot, a 25-ha Amazonian forest with &gt;1100 tree species. We found evidence for habitat filtering from both trait and phylogenetic methods from small (25 m<SUP>2</SUP>) to intermediate (10 000 m<SUP>2</SUP>) spatial scales. Trait-based methods detected even spacing of strategies, a pattern consistent with niche partitioning or enemy-mediated density dependence, at smaller spatial scales (25─400 m<SUP>2</SUP>). Simulation modeling of community assembly processes suggests that low statistical power to detect even spacing of traits at larger spatial scales may contribute to the observed patterns. Trait and phylogenetic methods tended to identify the same areas of the forest as being subject to habitat filtering. Phylogenetic community tests, which are far less data-intensive than trait-based methods, captured much of the same filtering patterns detected by trait-based methods but often failed to detect even-spacing patterns apparent in trait data. Taken together, it appears that both habitat associations and niche differentiation shape species co-occurrence patterns in one of the most diverse forests in the world at a range of small and intermediate spatial scales.","['Kraft, Nathan J. B.', 'Ackerly, David D.']",10.1890/09-1672.1,Ecological Monographs,2010-08-00,['Functional trait and phylogenetic tests of community assembly across spatial scales in an Amazonian forest'],2010,398,amazonian,"Kraft, Nathan J. B."
2003RSEnv..87..404H,"Wetland extent was mapped for the central Amazon region, using mosaicked L-band synthetic aperture radar (SAR) imagery acquired by the Japanese Earth Resources Satellite-1. For the wetland portion of the 18×8° study area, dual-season radar mosaics were used to map inundation extent and vegetation under both low-water and high-water conditions at 100-m resolution, producing the first high-resolution wetlands map for the region. Thematic accuracy of the mapping was assessed using high-resolution digital videography acquired during two aerial surveys of the Brazilian Amazon. A polygon-based segmentation and clustering was used to delineate wetland extent with an accuracy of 95%. A pixel-based classifier was used to map wetland vegetation and flooding state based on backscattering coefficients of two-season class combinations. Producer's accuracy for flooded and nonflooded forest classes ranged from 78% to 91%, with lower accuracy (63-65%) for flooded herbaceous vegetation. Seventeen percent of the study quadrat was occupied by wetlands, which were 96% inundated at high water and 26% inundated at low water. Flooded forest constituted nearly 70% of the entire wetland area at high water, but there are large regional variations in the proportions of wetland habitats. The SAR-based mapping provides a basis for improved estimates of the contribution of wetlands to biogeochemical and hydrological processes in the Amazon basin, a key question in the Large-Scale Biosphere-Atmosphere Experiment in Amazônia.","['Hess, Laura L.', 'Melack, John M.', 'Novo, Evlyn M. L. M.', 'Barbosa, Claudio C. F.', 'Gastil, Mary']",10.1016/j.rse.2003.04.001,Remote Sensing of Environment,2003-00-00,['Dual-season mapping of wetland inundation and vegetation for the central Amazon basin'],2003,398,amazonian,"Hess, Laura L."
1986Natur.322..254S,"We suggest here that large-scale natural forest disturbance and primary succession in the lowland rainforests of the Peruvian Amazon is caused by lateral erosion and channel changes of meandering rivers. Our results indicate that in the upper Amazon region, primary succession on newly deposited riverine soils is a major mode of forest regeneration. Landsat imagery analyses show that 26.6% of the modern lowland forest has characteristics of recent erosional and depositional activity; 12.0% of the Peruvian lowland forest is in successional stages along rivers. This successional development is used to classify the western Amazon rainforests according to their geomorphological erosion-deposition pattern. We also propose that by causing high site turnover, disturbance and variation in forest structure, the river dynamics may be a major factor creating and maintaining the high between-habitat (β-type) species diversity characterizing the upper Amazon<SUP>1</SUP>.","['Salo, Jukka', 'Kalliola, Risto', 'Häkkinen, Ilmari', 'Mäkinen, Yrjö', 'Niemelä, Pekka', 'Puhakka, Maarit', 'Coley, Phyllis D.']",10.1038/322254a0,Nature,1986-07-00,['River dynamics and the diversity of Amazon lowland forest'],1986,398,amazonian,"Salo, Jukka"
