bibcode,abstract,author,doi,pub,title,year,citation_count,source
2006JGRE..11112S03G,"Analysis of Miniature Thermal Emission Spectrometer (Mini-TES) data has led to the recovery of a pure end-member spectral shape related to the light-toned outcrop observed at Meridiani Planum. Data from the MER Mössbauer spectrometer, APXS, and previous Mini-TES measurements were used to constrain a spectral library used to determine the mineralogy of the outcrop from this spectral shape. Linear deconvolution of the outcrop spectral shape suggests that it is composed primarily of Al-rich opaline silica, Mg-, Ca-, and Fe-bearing sulfates, plagioclase feldspar, nontronite, and hematite. Conversion of modeled mineralogy to chemistry shows good agreement with the chemical composition of the outcrops determined by APXS. Details of the analysis procedure and implications for the formation of the outcrop are discussed along with terrestrial analogs of the ancient environment at Meridiani.","['Glotch, Timothy D.', 'Bandfield, Joshua L.', 'Christensen, Philip R.', 'Calvin, Wendy M.', 'McLennan, Scott M.', 'Clark, Benton C.', 'Rogers, A. Deanne', 'Squyres, Steven W.']",['10.1029/2005JE002672'],Journal of Geophysical Research (Planets),['Mineralogy of the light-toned outcrop at Meridiani Planum as seen by the Miniature Thermal Emission Spectrometer and implications for its formation'],2006,91,cites_2005E&PSL.240..149F
2014ESRv..135..103P,"Fe-metabolizing bacteria are intimately linked to the cycling of Fe in modern environments and have likely been key players in the evolution of the Earth's biogeosphere. Fe minerals have also been suggested as a key preservative of cell organic matter in sediments, keeping otherwise labile phases conserved at least on time scales of 100,000 years. The interpretation of a biological influence on the Fe rock record is difficult without a deeper understanding of the mechanisms of biogenic Fe(III) and Fe(II) mineral formation, the character of these minerals, and their diagenesis over short and long time scales. Here, we present the recent advances in the study of abiogenic and biogenic Fe(III) minerals. In particular, we focus on the role of Fe(II)-oxidizing bacteria in the deposition of ancient banded iron formations (BIF). We discuss this work within the framework of the main challenge: separating biogenic from abiogenic processes over deep time. We describe how efforts in isotope geochemistry, biomarker research, mineral analysis and biogeochemistry are helping to establish a window to the past. Finally, we present some new approaches that help investigate the main processes leading to the formation and potential fate of Fe-organic matter aggregates.","['Posth, N. R.', 'Canfield, D. E.', 'Kappler, A.']",['10.1016/j.earscirev.2014.03.012'],Earth Science Reviews,['Biogenic Fe(III) minerals: From formation to diagenesis and preservation in the rock record'],2014,102,cites_2005E&PSL.240..149F
2005E&PSL.240..179K,"Sedimentary rocks exposed in the Meridiani Planum region of Mars record aqueous and eolian deposition in ancient dune and interdune playa-like environments that were arid, acidic, and oxidizing. On Earth, microbial populations have repeatedly adapted to low pH and both episodic and chronic water limitation, suggesting that, to a first approximation, the Meridiani plain may have been habitable during at least part of the interval when deposition and early diagenesis took place. On the other hand, the environmental conditions inferred for Meridiani deposition would have posed a challenge for prebiotic chemical reactions thought to have played a role in the origin of life on Earth. Orbital observations suggest that the combination of sulfate minerals and hematite found in Meridiani rocks may be unusual on the martian surface; however, there is reason to believe that acidity, aridity, and oxidizing conditions were broadly distributed on ancient Mars. When these conditions were established and how much environmental heterogeneity existed on early Mars remain to be determined. Because sulfates and iron oxides can preserve detailed geochemical records of environmental history as well as chemical, textural and microfossil signatures of biological activity, Meridiani Planum is an attractive candidate for Mars sample return.","['Knoll, Andrew H.', 'Carr, Michael', 'Clark, Benton', 'Des Marais, David J.', 'Farmer, Jack D.', 'Fischer, Woodward W.', 'Grotzinger, John P.', 'McLennan, Scott M.', 'Malin, Michael', 'Schröder, Christian', 'Squyres, Steven', 'Tosca, Nicholas J.', 'Wdowiak, Thomas']",['10.1016/j.epsl.2005.09.045'],Earth and Planetary Science Letters,['An astrobiological perspective on Meridiani Planum'],2005,97,cites_2005E&PSL.240..149F
2007JGRE..112.7006Z,"Weathering of olivine basalt by H<SUB>2</SUB>SO<SUB>4</SUB>-HCl aqueous solutions at the conditions of early Mars was investigated through numerical modeling in a system open with respect to CO<SUB>2</SUB> and O<SUB>2</SUB> only. The model includes dissolution rates of primary and secondary minerals and oxidation rate of aqueous Fe<SUP>2+</SUP>, as well as chemical equilibration among solutes, dissolved gases, and precipitates. The results reveal fast dissolution of Fe-Mg minerals at low pH, followed by preferential dissolution of plagioclase at higher pH. Correspondingly, solutions evolve from acidic, Mg-Ca-Fe<SUP>2+</SUP>-Fe<SUP>3+</SUP>-Al<SUP>3+</SUP> compositions toward Na-rich alkaline fluids. The period over which neutralization and mineral precipitation may occur is shorter at higher initial pH, lower water to rock ratios, and larger mineral surface areas. Early stages of weathering are characterized by the formation of amorphous silica, goethite, and kaolinite, while zeolites and carbonates form considerably later at higher pH, where silica dissolves. Slow oxidation of Fe<SUP>2+</SUP> causes precipitation of ferrous phyllosilicates. Comparison with Martian observations indicate that amorphous silica, Fe<SUP>3+</SUP> oxyhydroxides, and Mg-, Ca-, and Fe-sulfates could have formed during multiple short-term episodes of acid weathering that were terminated by freezing and/or evaporation. Throughout history, impact generation of oxidants (e.g., O<SUB>2</SUB>, SO<SUB>3</SUB>, NO<SUB>2</SUB>) caused formation of strong acids and incremental Fe<SUP>2+</SUP> oxidation, the processes that are not efficient during O<SUB>2</SUB>-deficient periods of volcanic degassing. Although impact-generated acid rainfalls could have caused intense weathering and erosion in Noachian time, dilution of acids and a prolonged existence of surface solutions favored local neutralization of solution, and formation, transport and deposition of clays.","['Zolotov, Mikhail Y.', 'Mironenko, Mikhail V.']",['10.1029/2006JE002882'],Journal of Geophysical Research (Planets),['Timing of acid weathering on Mars: A kinetic-thermodynamic assessment'],2007,98,cites_2005E&PSL.240..149F
2007JSedR..77..366B,,"['Benison, K. C.', 'Bowen, B. B.', 'Oboh-Ikuenobe, F. E.', 'Jagniecki, E. A.', 'Laclair, D. A.', 'Story, S. L.', 'Mormile, M. R.', 'Hong, B.-Y.']",['10.2110/jsr.2007.038'],Journal of Sedimentary Research,['Sedimentology of Acid Saline Lakes in Southern Western Australia: Newly Described Processes and Products of an Extreme Environment'],2007,100,cites_2005E&PSL.240..149F
2011AsBio..11...15P,"The search for unequivocal signs of life on other planetary bodies is one of the major challenges for astrobiology. The failure to detect organic molecules on the surface of Mars by measuring volatile compounds after sample heating, together with the new knowledge of martian soil chemistry, has prompted the astrobiological community to develop new methods and technologies. Based on protein microarray technology, we have designed and built a series of instruments called SOLID (for ``Signs Of LIfe Detector'') for automatic in situ detection and identification of substances or analytes from liquid and solid samples (soil, sediments, or powder). Here, we present the SOLID3 instrument, which is able to perform both sandwich and competitive immunoassays and consists of two separate functional units: a Sample Preparation Unit (SPU) for 10 different extractions by ultrasonication and a Sample Analysis Unit (SAU) for fluorescent immunoassays. The SAU consists of five different flow cells, with an antibody microarray in each one (2000 spots). It is also equipped with an exclusive optical package and a charge-coupled device (CCD) for fluorescent detection. We demonstrated the performance of SOLID3 in the detection of a broad range of molecular-sized compounds, which range from peptides and proteins to whole cells and spores, with sensitivities at 1-2ppb (ngmL<SUP>-1</SUP>) for biomolecules and 10<SUP>4</SUP> to 10<SUP>3</SUP> spores per milliliter. We report its application in the detection of acidophilic microorganisms in the Río Tinto Mars analogue and report the absence of substantial negative effects on the immunoassay in the presence of 50mM perchlorate (20 times higher than that found at the Phoenix landing site). Our SOLID instrument concept is an excellent option with which to detect biomolecules because it avoids the high-temperature treatments that may destroy organic matter in the presence of martian oxidants.","['Parro, Víctor', 'de Diego-Castilla, Graciela', 'Rodríguez-Manfredi, José A.', 'Rivas, Luis A.', 'Blanco-López, Yolanda', 'Sebastián, Eduardo', 'Romeral, Julio', 'Compostizo, Carlos', 'Herrero, Pedro L.', 'García-Marín, Adolfo', 'Moreno-Paz, Mercedes', 'García-Villadangos, Miriam', 'Cruz-Gil, Patricia', 'Peinado, Verónica', 'Martín-Soler, Javier', 'Pérez-Mercader, Juan', 'Gómez-Elvira, Javier']",['10.1089/ast.2010.0501'],Astrobiology,['SOLID3: A Multiplex Antibody Microarray-Based Optical Sensor Instrument for In Situ Life Detection in Planetary Exploration'],2011,78,cites_2005E&PSL.240..149F
2017ESRv..164...84X,"Remote sensing observations and rover missions have documented the presence of playas, salts, and wind erosion landforms of lacustrine sediments on Mars. All of these observations suggest Mars was aqueous in its early history. However, abundant questions remain: How wet was the environment, what were the properties of the liquids and the possibility of ancient habitability, and what kinds of geological processes shaped the present landforms? To explore these unknowns, analogue studies can play a key role. In this contribution, we introduce the Qaidam Basin, Tibetan Plateau, northwestern China as a new and unique analogue site for studying the past aqueous and present arid environments of Mars. The Qaidam Basin, the highest and one of the largest and driest deserts on Earth, is located in a dry, cold, and high UV environment, similar to the surface of Mars. We demonstrate a variety of landforms and also their counterparts on Mars, which include aeolian dunes and yardangs, polygons, gullies, valleys, and fluvial fans. In the Qaidam Basin, various environmental regimes for the formation of linear and asymmetric barchans have been described. Saline lakes and playas representing different stages of lake evolution in arid environment are also present in the Qaidam Basin and provide promising cases for studying the habitability in Mars-like environments. Results for microorganism isolation suggest that halophiles are the most important fraction in the hypersaline sediments and this may shed light on studying present Martian habitability. Moreover, the remote but ready accessibility of the Qaidam Basin make it a potential site for engineering testing in regards to future martin exploration missions. We propose that the variety of exogenic and endogenic geomorphic types, lacustrine sediments, evaporite mineral assemblages and Mars-like extreme environments collectively point to the Qaidam Basin as an optimal","['Xiao, Long', 'Wang, Jiang', 'Dang, Yanan', 'Cheng, Ziye', 'Huang, Ting', 'Zhao, Jiannan', 'Xu, Yi', 'Huang, Jun', 'Xiao, Zhiyong', 'Komatsu, Goro']",['10.1016/j.earscirev.2016.11.003'],Earth Science Reviews,"['A new terrestrial analogue site for Mars research: The Qaidam Basin, Tibetan Plateau (NW China)']",2017,92,cites_2005E&PSL.240..149F
2008JHyd..350...25C,"SummaryThe aim of this work is to study the hydrochemical variations during flood events in the Río Tinto, SW Spain. Three separate rainfall/flood events were monitored in October 2004 following the dry season. In general, concentrations markedly increased following the first event (Fe from 99 to 1130 mg/L; Q<SUB>max</SUB> = 0.78 m <SUP>3</SUP>/s) while dissolved loads peaked in the second event (Fe = 7.5 kg/s, Cu = 0.83 kg/s, Zn = 0.82 kg/s; Q<SUB>max</SUB> = 77 m <SUP>3</SUP>/s) and discharge in the third event ( Q<SUB>max</SUB> = 127 m <SUP>3</SUP>/s). This pattern reflects a progressive depletion of metals and sulphate stored in the dry summer as soluble evaporitic salt minerals and concentrated pore fluids, with dilution by freshwater becoming increasingly dominant as the month progressed. Variations in relative concentrations were attributed to oxyhydroxysulphate Fe precipitation, to relative changes in the sources of acid mine drainage (e.g. salt minerals, mine tunnels, spoil heaps etc.) and to differences in the rainfall distributions along the catchment. The contaminant load carried by the river during October 2004 was enormous, totalling some 770 t of Fe, 420 t of Al, 100 t of Cu, 100 t of Zn and 71 t of Mn. This represents the largest recorded example of this flush-out process in an acid mine drainage setting. Approximately 1000 times more water and 140-8200 times more dissolved elements were carried by the river during October 2004 than during the dry, low-flow conditions of September 2004, highlighting the key role of flood events in the annual pollutant transport budget of semi-arid and arid systems and the need to monitor these events in detail in order to accurately quantify pollutant transport.","['Cánovas, C. R.', 'Hubbard, C. G.', 'Olías, M.', 'Nieto, J. M.', 'Black, S.', 'Coleman, M. L.']",['10.1016/j.jhydrol.2007.11.022'],Journal of Hydrology,['Hydrochemical variations and contaminant load in the Río Tinto (Spain) during flood events'],2008,85,cites_2005E&PSL.240..149F
2007ChEG...67..253M,,"['Mottl, M.', 'Glazer, B.', 'Kaiser, R.', 'Meech, K.']",['10.1016/j.chemer.2007.09.002'],Chemie der Erde / Geochemistry,['Water and astrobiology'],2007,70,cites_2005E&PSL.240..149F
2014EnST...48.5537C,,"['Chen, Ya-ting', 'Li, Jin-tian', 'Chen, Lin-xing', 'Hua, Zheng-shuang', 'Huang, Li-nan', 'Liu, Jun', 'Xu, Bi-bo', 'Liao, Bin', 'Shu, Wen-sheng']",['10.1021/es500154z'],Environmental Science and Technology,['Biogeochemical Processes Governing Natural Pyrite Oxidation and Release of Acid Metalliferous Drainage'],2014,69,cites_2005E&PSL.240..149F
2008JGRE..113.5005T,"Fe oxidation processes may have occurred during groundwater-mediated diagenesis in Meridiani Planum sediments. To address this question, melanterite oxidation experiments were conducted at epsomite saturation as a function of pH. Results show that schwertmannite is initially formed from acidic Fe oxidation and that its formation and aging to mixtures of jarosite and nanocrystalline goethite is strongly controlled by pH over the range ~2.0-4.0. The pH is controlled in turn by Fe oxidation and Fe<SUP>3+</SUP> hydrolysis. In one 77-d oxidation experiment, nanocrystalline hematite was tentatively identified by Mössbauer spectroscopy. Accordingly, aging experiments with synthetic nanocrystalline goethite were conducted (1) to further resolve the formation mechanisms of Fe-phases identified from oxidation experiments and (2) to test whether low water activity (a <SUB>w</SUB>) controls the thermodynamically favored goethite to hematite transition at low temperature. Mössbauer spectroscopy and total X-ray scattering show no observable changes after 4 months of aging, and instead, these results point to a jarosite precursor for the tentatively identified hematite. On the basis of these results, we suggest that the oxidation and maturation of initially formed Fe<SUP>2+</SUP>-bearing saline minerals may account in large part for the distribution of secondary Fe minerals at the Martian surface, contributing to the association of Fe oxides and Mg/Ca sulfates observed from orbital surface analyses. We hypothesize that oxidation of Fe<SUP>2+</SUP> sulfates at low temperature could account for sustained diagenetic acidity in addition to much of the observed Fe mineralogy in Meridiani Planum outcrop rocks. The origin of the gray crystalline hematite at Meridiani, however, is deserving of further experimental work to test this mechanism.","['Tosca, Nicholas J.', 'McLennan, Scott M.', 'Dyar, M. Darby', 'Sklute, Elizabeth C.', 'Michel, F. Marc']",['10.1029/2007JE003019'],Journal of Geophysical Research (Planets),['Fe oxidation processes at Meridiani Planum and implications for secondary Fe mineralogy on Mars'],2008,65,cites_2005E&PSL.240..149F
2006Icar..183..225B,"Acid saline lake systems in Western Australia may be the best known modern terrestrial analog for the Burns formation on Mars and, thus, provide information about past environments and life on Mars.","['Benison, Kathleen C.', 'Bowen, Brenda Beitler']",['10.1016/j.icarus.2006.02.018'],Icarus,['Acid saline lake systems give clues about past environments and the search for life on Mars'],2006,72,cites_2005E&PSL.240..149F
2008JGRE..11312S40W,"Light-toned soils were exposed, through serendipitous excavations by Spirit Rover wheels, at eight locations in the Columbia Hills. Their occurrences were grouped into four types on the basis of geomorphic settings. At three major exposures, the light-toned soils are hydrous and sulfate-rich. The spatial distributions of distinct types of salty soils vary substantially: with centimeter-scaled heterogeneities at Paso Robles, Dead Sea, Shredded, and Champagne-Penny, a well-mixed nature for light-toned soils occurring near and at the summit of Husband Hill, and relatively homogeneous distributions in the two layers at the Tyrone site. Aeolian, fumarolic, and hydrothermal fluid processes are suggested to be responsible for the deposition, transportation, and accumulation of these light-toned soils. In addition, a change in Pancam spectra of Tyrone yellowish soils was observed after being exposed to current Martian surface conditions for 175 sols. This change is interpreted to be caused by the dehydration of ferric sulfates on the basis of laboratory simulations and suggests a relative humidity gradient beneath the surface. Si-rich nodules and soils were observed near the major exposures of S-rich soils. They possess a characteristic feature in Pancam visible near-infrared (Vis-NIR) spectra that may be diagnostic of hydrated species, and this spectral feature can be used to search for additional Si-rich species. The exposures of hydrated salty soils within various geomorphic settings imply the potential existence of hydrous minerals in similar settings over a much wider area. Hydrous sulfates represent one of the candidates that may contribute the high level of water equivalent hydrogen in equatorial regions detected by the Neutron Spectrometer on Mars Odyssey.","['Wang, Alian', 'Bell, J. F.', 'Li, Ron', 'Johnson, J. R.', 'Farrand, W. H.', 'Cloutis, E. A.', 'Arvidson, R. E.', 'Crumpler, L.', 'Squyres, S. W.', 'McLennan, S. M.', 'Herkenhoff, K. E.', 'Ruff, S. W.', 'Knudson, A. T.', 'Chen, Wei', 'Greenberger, R.']",['10.1029/2008JE003126'],Journal of Geophysical Research (Planets),['Light-toned salty soils and coexisting Si-rich species discovered by the Mars Exploration Rover Spirit in Columbia Hills'],2008,74,cites_2005E&PSL.240..149F
2012GeCoA..90...47D,"Orbital and landed missions to Mars have revealed complex sulfate- and Fe-oxide-bearing mineralogical assemblages, which have been interpreted as the result of a late planet-wide acidic period due to large SO<SUB>2</SUB> emissions. However, this global scenario does not explain the recent discovery of Hesperian and Noachian-aged carbonates in several regions, because they should have been dissolved by the acidic conditions, nor the restriction of sulfate occurrences in preferential regions. Here we present the results of a 4-year-long experimental study designed to test the impact of Fe-sulfides (pyrrhotite Fe<SUB>0.9</SUB>S) on the weathering of basaltic silicates (olivine, clino- and orthopyroxene) under an early-Martian-like, CO<SUB>2</SUB>-rich atmosphere. Our weathered silicate/sulfide mixtures showed complex parageneses containing elemental sulfur, hydrated sulfates (gypsum, hexahydrite, jarosite) and Fe-(oxy)hydroxides. Olivine-only samples produced nesquehonite, an Mg-carbonate precursor of hydromagnesite and magnesite. These secondary phases are similar to those observed in the Martian sulfate- and carbonate-bearing deposits. Therefore, we propose a geochemical model in which, on the one hand, Martian sulfates mainly formed from weathering of sulfide-enriched basalts producing locally acidic environments and, on the other hand, carbonates were preserved and could even have formed in regions initially devoid of sulfides, thereby resolving the apparent paradox arising from the possible coeval formation of the two types of minerals. These results raise doubts on the need for a global acidic event to produce the sulfate-bearing assemblages, suggest that regional sequestration of sulfate deposits is due to regional differences in sulfide content of the bedrock, and pave the way for reevaluating the likelihood that early sediments preserved biosignatures from the earliest times.","['Dehouck, E.', 'Chevrier, V.', 'Gaudin, A.', 'Mangold, N.', 'Mathé, P.-E.', 'Rochette, P.']",['10.1016/j.gca.2012.04.057'],Geochimica et Cosmochimica Acta,['Evaluating the role of sulfide-weathering in the formation of sulfates or carbonates on Mars'],2012,70,cites_2005E&PSL.240..149F
2012AsBio..12..151P,,"['Pasek, Matthew A.', 'Greenberg, Richard']",['10.1089/ast.2011.0666'],Astrobiology,"[""Acidification of Europa's Subsurface Ocean as a Consequence of Oxidant Delivery""]",2012,60,cites_2005E&PSL.240..149F
2008GeCoA..72..242M,"The Mars Global Surveyor, Mars Exploration Rover, and Mars Express missions have stimulated considerable thinking about the surficial geochemical evolution of Mars. Among the major recent mission findings are the presence of jarosite (a ferric sulfate salt), which requires formation from an acid-sulfate brine, and the occurrence of hematite and goethite on Mars. Recent ferric iron models have largely focused on 25 °C, which is a major limitation for models exploring the geochemical history of cold bodies such as Mars. Until recently, our work on low-temperature iron-bearing brines involved ferrous but not ferric iron, also obviously a limitation. The objectives of this work were to (1) add ferric iron chemistry to an existing ferrous iron model (FREZCHEM), (2) extend this ferrous/ferric iron geochemical model to lower temperatures (&lt;0 °C), and (3) use the reformulated model to explore ferrous/ferric iron chemistries on Mars. The FREZCHEM model is an equilibrium chemical thermodynamic model parameterized for concentrated electrolyte solutions using the Pitzer approach for the temperature range from &lt;-70 to 25 °C and the pressure range from 1 to 1000 bars. Ferric chloride and sulfate mineral parameterizations were based, in part, on experimental data. Ferric oxide/hydroxide mineral parameterizations were based exclusively on Gibbs free energy and enthalpy data. New iron parameterizations added 23 new ferrous/ferric minerals to the model for this Na-K-Mg-Ca-Fe(II)-Fe(III)-H-Cl-SO <SUB>4</SUB>-NO <SUB>3</SUB>-OH-HCO <SUB>3</SUB>-CO <SUB>3</SUB>-CO <SUB>2</SUB>-O <SUB>2</SUB>-CH <SUB>4</SUB>-H <SUB>2</SUB>O system. The model was used to develop paragenetic sequences for Rio Tinto waters on Earth and a hypothetical Martian brine derived from acid weathering of basaltic minerals. In general, model simulations were in agreement with field evidence on Earth and Mars in predicting precipitation of stable iron minerals such as jarosites, goethite, and hematite. In addition, paragenetic simulations for Mars suggest that other iron minerals such as lepidocrocite, schwertmannite, ferricopiapite, copiapite, and bilinite may also be present on the surface of Mars. Evaporation or freezing of the Martian brine led to similar mineral precipitates. However, in freezing, compared to evaporation, the following key differences were found: (1) magnesium sulfates had higher hydration states; (2) there was greater total aqueous sulfate (SO <SUB>4T</SUB> = SO <SUB>4</SUB> + HSO <SUB>4</SUB>) removal; and (3) there was a significantly higher aqueous Cl/SO <SUB>4T</SUB> ratio in the residual Na-Mg-Cl brine. Given the similarities of model results to observations, alternating dry/wet and freeze/thaw cycles and brine migration could have played major roles in vug formation, Cl stratification, and hematite concretion formation on Mars.","['Marion, Giles M.', 'Kargel, Jeffrey S.', 'Catling, David C.']",['10.1016/j.gca.2007.10.012'],Geochimica et Cosmochimica Acta,['Modeling ferrous ferric iron chemistry with application to martian surface geochemistry'],2008,70,cites_2005E&PSL.240..149F
2008AsBio...8.1001B,"We report on the design, operation, and data analysis methods employed on the VNIR imaging spectrometer instrument that was part of the Mars Astrobiology Research and Technology Experiment (MARTE). The imaging spectrometer is a hyperspectral scanning pushbroom device sensitive to VNIR wavelengths from 400-1000 nm. During the MARTE project, the spectrometer was deployed to the Río Tinto region of Spain. We analyzed subsets of three cores from Río Tinto using a new band modeling technique. We found most of the MARTE drill cores to contain predominantly goethite, though spatially coherent areas of hematite were identified in Core 23. We also distinguished non Fe-bearing minerals that were subsequently analyzed by X-ray diffraction (XRD) and found to be primarily muscovite. We present drill core maps that include spectra of goethite, hematite, and non Fe-bearing minerals.","['Brown, Adrian J.', 'Sutter, Brad', 'Dunagan, Stephen']","['10.1089/ast.2007.0142', '10.48550/arXiv.1401.7434']",Astrobiology,['The MARTE VNIR Imaging Spectrometer Experiment: Design and Analysis'],2008,60,cites_2005E&PSL.240..149F
2018Icar..311...69L,"ChemCam has observed a wide range of diagenetic features along the Curiosity rover traverse including pervasive Ca-sulfate veins. Observations by multiple instruments on Curiosity indicate that these veins are hydrated, formed during diagenetic fluid event(s). In this study, we delve into the chemical variability in these Ca-sulfate bearing veins and have identified two subsets in the Murray formation with enrichments in Fe and Fe + Mg. These chemical trends do not reflect a sampling mixture with the surrounding host rock but likely indicates the presence of authigenic phases formed during the emplacement of these veins. Based on passive reflectance spectral analysis and correlation with other elements, Fe<SUP>3+</SUP> oxides and/or sulfates are proposed to account for the Fe-rich observations in the vicinity of the Naukluft Plateau whereas the Fe + Mg trend is also observed in adjacent dark-toned features with elevated Mn and P near the Old Soaker outcrop. The specific localization of these observations in the Gale stratigraphy implies changing pH and redox conditions in the groundwater at the time of formation of these veins, from oxidizing and likely more acidic near the Naukluft Plateau to more reducing conditions in the upper part of the Murray formation.","[""L'Haridon, J."", 'Mangold, N.', 'Meslin, P.-Y.', 'Johnson, J. R.', 'Rapin, W.', 'Forni, O.', 'Cousin, A.', 'Payré, V.', 'Dehouck, E.', 'Nachon, M.', 'Le Deit, L.', 'Gasnault, O.', 'Maurice, S.', 'Wiens, R. C.']",['10.1016/j.icarus.2018.01.028'],Icarus,"['Chemical variability in mineralized veins observed by ChemCam on the lower slopes of Mount Sharp in Gale crater, Mars']",2018,47,cites_2005E&PSL.240..149F
2008Icar..194...72F,"Acidic waters of the Rio Tinto, southwestern Spain, evaporate seasonally, precipitating a variety of iron sulfide and oxide minerals. Schwertmannite and nanophase goethite form thin laminae on biological and detrital grain surfaces, replicating, among other things, the morphologies of insect cuticle, plant tissues, fungi, algae, and bacteria. Intergrain cements also incorporate bacterial cells and filaments. Other sulfate minerals precipitated in Rio Tinto environments are transient and contribute little to short-term preservation. Because the Rio Tinto has been cutting its current valley for several million years, terrace deposits provide a window on longer term fossil preservation. Early and later diagenesis are recorded in terrace deposits formed about one thousand and two million years ago, respectively. The sedimentary structures and mineralogies of these deposits suggest that they formed under physical and chemical conditions comparable to those of modern Rio Tinto sediments. The terrace deposits show quantitative loss of sulfate minerals, increasing crystallinity of goethite and, in the older terrace, replacement of goethite by hematite. Fossils formed originally by schwertmannite and nanophase goethite replication persist through diagenesis, preserving a long term record of local biological diversity. Fossil preservation by iron oxides in the acidic environment of Rio Tinto suggests that if life was present when sedimentary rocks formed at Meridiani Planum, Mars, precipitated minerals could record their presence.","['Fernández-Remolar, David C.', 'Knoll, Andrew H.']",['10.1016/j.icarus.2007.10.009'],Icarus,"['Fossilization potential of iron-bearing minerals in acidic environments of Rio Tinto, Spain: Implications for Mars exploration']",2008,59,cites_2005E&PSL.240..149F
2012JGRE..117.0J16E,"We used a suite of techniques, including those emulating compositional data sets obtained from Mars orbit and obtainable at the Mars surface, to examine aqueous alteration of basaltic rocks from Iceland as a mineralogic and geochemical analog for Noachian environments on Mars. A sample suite was collected for laboratory measurement of (1) whole-rock visible/near-infrared (VNIR) reflectance and thermal infrared (TIR) emission spectra; (2) VNIR and TIR reflectance spectra of particle-size separates derived from the bulk rock and from materials extracted from fractures/vesicles; (3) X-ray diffraction (XRD) patterns for determination of quantitative modal mineralogy; (4) major element chemistry using flux fusion of whole-rock powders; and (5) electron microprobe analyses of minerals in thin sections. Conclusions about aqueous alteration can be influenced by technique. For these basalts, whole-rock chemical data showed scant evidence for chemical fractionation, but TIR, VNIR, and XRD measurements identified distinctive assemblages of hydrous silicate minerals, differing by sample. XRD provided the most complete and accurate quantitative determination of sample mineralogy. However, VNIR spectroscopy was the technique most useful for determining composition of low-abundance smectite clays, and TIR spectroscopy was the most useful for recognizing hydrated silicates in thin surface coatings. High spatial resolution mineralogical and chemical data sets were useful for understanding the texture and distribution of alteration products and variations in fluid chemistry. No single approach provides a complete assessment of the environment of alteration, demonstrating the importance of employing multiple, synergistic mineralogical and geochemical techniques and instruments in exploration of rock strata from aqueous paleoenvironments on Mars.","['Ehlmann, B. L.', 'Bish, D. L.', 'Ruff, S. W.', 'Mustard, J. F.']",['10.1029/2012JE004156'],Journal of Geophysical Research (Planets),['Mineralogy and chemistry of altered Icelandic basalts: Application to clay mineral detection and understanding aqueous environments on Mars'],2012,59,cites_2005E&PSL.240..149F
2008AsBio...8.1023F,"A search for evidence of cryptic life in the subsurface region of a fractured Paleozoic volcanosedimentary deposit near the source waters of the Río Tinto River (Iberian pyrite belt, southwest Spain) was carried out by Mars Astrobiology Research and Technology Experiment (MARTE) project investigators in 2003 and 2004. This conventional deep-drilling experiment is referred to as the MARTE ground truth drilling project. Boreholes were drilled at three sites, and samples from extracted cores were analyzed with light microscopy, scanning electron microscopy-energy dispersive spectroscopy (SEM-EDS), X-ray diffraction (XRD), and Fourier transform infrared spectroscopy. Core leachates were analyzed with ion chromatography, and borehole fluids were analyzed with ion and gas chromatography. Key variables of the groundwater system (e.g. , pO<SUB>2</SUB>, pH, and salinity) exhibit huge ranges probably due to surficial oxygenation of overall reducing waters, physical mixing of waters, and biologically mediated water-rock interactions. Mineral distribution is mainly driven by the pH of subsurface solutions, which range from highly acidic to neutral. Borehole fluids contain dissolved gases such as CO<SUB>2</SUB>, CH<SUB>4</SUB>, and H<SUB>2</SUB>. SEM-EDS analyses of core samples revealed evidence of microbes attacking pyrite. The Río Tinto alteration mechanisms may be similar to subsurface weathering of the martian crust and provide insights into the possible (bio)geochemical cycles that may have accompanied underground habitats in extensive early Mars volcanic regions and associated sulfide ores.","['Fernández-Remolar, David C.', 'Prieto-Ballesteros, Olga', 'Rodríguez, Nuria', 'Gómez, Felipe', 'Amils, Ricardo', 'Gómez-Elvira, Javier', 'Stoker, Carol R.']",['10.1089/ast.2006.0104'],Astrobiology,['Underground Habitats in the Río Tinto Basin: A Model for Subsurface Life Habitats on Mars'],2008,54,cites_2005E&PSL.240..149F
